t,x(t)
0.4485,0.505597
0.449,0.506141
0.4495,0.506684
0.45,0.507228
0.4505,0.507771
0.451,0.508314
0.4515,0.508857
0.452,0.5094
0.4525,0.509943
0.453,0.510485
0.4535,0.511028
0.454,0.511571
0.4545,0.512113
0.455,0.512655
0.4555,0.513198
0.456,0.51374
0.4565,0.514282
0.457,0.514824
0.4575,0.515366
0.458,0.515908
0.4585,0.516449
0.459,0.516991
0.4595,0.517533
0.46,0.518074
0.4605,0.518615
0.461,0.519157
0.4615,0.519698
0.462,0.520239
0.4625,0.52078
0.463,0.521321
0.4635,0.521861
0.464,0.522402
0.4645,0.522943
0.465,0.523483
0.4655,0.524023
0.466,0.524564
0.4665,0.525104
0.467,0.525644
0.4675,0.526184
0.468,0.526724
0.4685,0.527263
0.469,0.527803
0.4695,0.528343
0.47,0.528882
0.4705,0.529422
0.471,0.529961
0.4715,0.5305
0.472,0.531039
0.4725,0.531578
0.473,0.532117
0.4735,0.532656
0.474,0.533194
0.4745,0.533733
0.475,0.534271
0.4755,0.53481
0.476,0.535348
0.4765,0.535886
0.477,0.536424
0.4775,0.536962
0.478,0.5375
0.4785,0.538038
0.479,0.538575
0.4795,0.539113
0.48,0.53965
0.4805,0.540188
0.481,0.540725
0.4815,0.541262
0.482,0.541799
0.4825,0.542336
0.483,0.542873
0.4835,0.54341
0.484,0.543946
0.4845,0.544483
0.485,0.545019
0.4855,0.545555
0.486,0.546092
0.4865,0.546628
0.487,0.547164
0.4875,0.5477
0.488,0.548235
0.4885,0.548771
0.489,0.549307
0.4895,0.549842
0.49,0.550377
0.4905,0.550913
0.491,0.551448
0.4915,0.551983
0.492,0.552518
0.4925,0.553052
0.493,0.553587
0.4935,0.554122
0.494,0.554656
0.4945,0.555191
0.495,0.555725
0.4955,0.556259
0.496,0.556793
0.4965,0.557327
0.497,0.557861
0.4975,0.558395
0.498,0.558928
0.4985,0.559462
0.499,0.559995
0.4995,0.560528
0.5,0.561061
0.5005,0.561594
0.501,0.562127
0.5015,0.56266
0.502,0.563193
0.5025,0.563726
0.503,0.564258
0.5035,0.56479
0.504,0.565323
0.5045,0.565855
0.505,0.566387
